Time [ms],Column 0
27483,-59
27485,11
27488,161
27491,1
27494,427230800
27497,102
27499,0
27502,1
27504,0
27507,0
27509,0
27511,0
27514,0
27516,0
27519,0
27521,0
27524,0
27526,0
27530,0
27533,128
29630,10
29632,-58
29635,11
29637,161
29640,1
29642,429381200
29644,102
29647,0
29649,1
29652,0
29654,0
29656,0
29659,0
29661,0
29664,0
29667,0
29670,0
29673,0
29675,0
29678,0
29681,128
30979,-61
30981,9
30983,161
30986,1
30989,430735800
30991,28
30993,0
30995,1
30998,0
31000,0
31002,0
31005,0
31007,0
31009,0
31011,0
31014,0
31017,0
31019,0
31023,0
31025,128
31038,-61
31041,9
31043,161
31046,1
31048,430752030
31051,28
31053,0
31056,1
31059,0
31062,0
31064,0
31066,0
31069,0
31071,0
31074,0
31076,0
31079,0
31081,0
31084,0
31086,128
31099,10
31102,-59
31105,11
31107,161
31109,1
31112,430814800
31114,96
31117,0
31119,1
31122,0
31125,0
31128,0
31131,0
31134,0
31136,0
31139,0
31141,0
31144,0
31146,0
31149,0
31151,128
31670,10
31673,-58
31676,11
31679,161
31681,1
31684,431429220
31686,102
31689,0
31691,1
31694,0
31697,0
31700,0
31702,0
31705,0
31708,0
31711,0
31714,0
31716,0
31719,0
31721,0
31723,128
32390,10
32394,-57
32397,11
32401,161
32403,1
32406,432146000
32408,96
32411,0
32413,1
32415,0
32418,0
32420,0
32422,0
32425,0
32428,0
32431,0
32434,0
32436,0
32439,0
32441,0
32444,128
32454,10
32457,-57
32459,11
32462,161
32465,1
32468,432146180
32470,96
32473,0
32475,1
32478,0
32480,0
32483,0
32486,0
32488,0
32491,0
32494,0
32496,0
32499,0
32502,0
32504,0
32507,128
32516,10
32519,-57
32521,11
32524,161
32526,1
32529,432146340
32531,102
32536,0
32539,1
32542,0
32544,0
32547,0
32549,0
32552,0
32554,0
32556,0
32559,0
32561,0
32563,0
32566,0
32570,128
38838,10
38841,-58
38844,11
38847,161
38850,1
38854,438597220
38857,96
38861,0
38864,1
38866,0
38869,0
38872,0
38875,0
38878,0
38881,0
38884,0
38886,0
38889,0
38891,0
38893,0
38896,128
39460,10
39464,-58
39467,11
39469,161
39472,1
39475,439211650
39477,102
39480,0
39482,1
39485,0
39487,0
39490,0
39493,0
39496,0
39499,0
39501,0
39504,0
39506,0
39509,0
39511,0
39514,128
40630,10
40633,-83
40636,9
40638,161
40641,1
40643,440388100
40646,328
40649,0
40651,1
40656,0
40658,0
40661,0
40663,0
40665,0
40668,0
40670,0
40672,0
40675,0
40677,0
40679,0
40682,128
40695,10
40698,-83
40700,9
40703,161
40705,1
40707,440388300
40710,328
40712,0
40714,1
40717,0
40719,0
40722,0
40725,0
40727,0
40730,0
40732,0
40735,0
40737,0
40740,0
40743,0
40745,128
40755,10
40759,-84
40762,9
40766,161
40768,1
40771,440388480
40773,328
40776,0
40778,1
40781,0
40784,0
40787,0
40790,0
40793,0
40796,0
40799,0
40801,0
40803,0
40806,0
40808,0
40811,128
40820,10
40823,-83
40825,9
40829,161
40832,1
40835,440388670
40838,204
40840,0
40842,1
40845,0
40847,0
40850,0
40852,0
40854,0
40857,0
40859,0
40863,0
40866,0
40868,0
40871,0
40873,128
41398,10
41401,-58
41403,11
41406,161
41408,1
41412,441157250
41415,96
41418,0
41421,1
41424,0
41427,0
41431,0
41434,0
41436,0
41440,0
41443,0
41446,0
41450,0
41453,0
41455,0
41457,128
41705,10
41708,-58
41710,11
41713,161
41715,1
41718,441464420
41721,102
41726,0
41729,1
41731,0
41734,0
41736,0
41739,0
41741,0
41744,0
41746,0
41748,0
41751,0
41754,0
41757,0
41761,128
